model,birds,birds_std,emotions,emotions_std,scene,scene_std,yeast,yeast_std,enron,enron_std,genbase,genbase_std,medical,medical_std,tmc2007_500,tmc2007_500_std,best_birds,best_emotions,best_scene,best_yeast,best_enron,best_genbase,best_medical,best_tmc2007_500,best_awards,rank_birds,rank_emotions,rank_scene,rank_yeast,rank_enron,rank_genbase,rank_medical,rank_tmc2007_500,rank_average
classifier_chain,0.4933,0.0655,0.3255,0.0342,0.563,0.1465,0.2486,0.0204,0.071,0.083,0.9425,0.0358,0.5206,0.0653,0.2738,0.0477,0,1,0,1,0,0,1,0,3,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0
label_powerset,0.5072,0.0639,0.3153,0.0386,0.5792,0.1424,0.2367,0.0192,0.0862,0.0883,0.944,0.0353,0.5205,0.0631,0.2705,0.0622,0,0,0,0,1,0,0,0,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0
mlaram,0.0807,0.0295,0.2396,0.0394,0.58,0.1306,0.2147,0.0206,0.0693,0.0234,0.9563,0.0369,0.3568,0.0466,0.4612,0.1839,0,0,1,0,0,1,0,1,3,4.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,2.625
binary_relevance,0.5118,0.0567,0.2933,0.0424,0.536,0.1395,0.2127,0.0174,0.0382,0.0202,0.9425,0.0358,0.4951,0.0728,0.2663,0.0486,1,0,0,0,0,0,0,0,1,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.25
majority_voting_classifier,0.0544,0.0315,0.1568,0.054,0.2686,0.1992,0.0463,0.0094,0.0029,0.0039,0.6067,0.1309,0.1739,0.0394,0.0057,0.0025,0,0,0,0,0,0,0,0,0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.5
rakeld,0.0217,0.0173,0.2039,0.037,0.1396,0.0766,0.0947,0.0132,0.0006,0.0018,0.9412,0.0476,0.1534,0.0198,0.0128,0.0061,0,0,0,0,0,0,0,0,0,7.0,5.0,7.0,5.0,6.0,5.0,7.0,5.0,5.875
label_space_partition_classifier,0.0544,0.0315,0.1467,0.0408,0.1632,0.0745,0.0447,0.0103,0.0,0.0,0.6067,0.1309,0.1739,0.0394,0.0057,0.0024,0,0,0,0,0,0,0,0,0,5.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,6.125
