model,birds,birds_std,emotions,emotions_std,scene,scene_std,yeast,yeast_std,enron,enron_std,genbase,genbase_std,medical,medical_std,tmc2007_500,tmc2007_500_std,best_birds,best_emotions,best_scene,best_yeast,best_enron,best_genbase,best_medical,best_tmc2007_500,best_awards,rank_birds,rank_emotions,rank_scene,rank_yeast,rank_enron,rank_genbase,rank_medical,rank_tmc2007_500,rank_average
classifier_chain,0.2702,0.0615,0.64,0.0383,0.2785,0.042,0.4352,0.0119,0.0685,0.0201,0.5169,0.1037,0.1934,0.0228,0.4339,0.0655,0,1,0,0,0,0,1,0,2,2.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,2.5
mlaram,0.1489,0.0417,0.6165,0.0518,0.3172,0.0549,0.4425,0.0179,0.0758,0.015,0.5477,0.1195,0.1667,0.0257,0.6719,0.1655,0,0,1,0,0,1,0,1,3,4.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,2.5
rakeld,0.1016,0.0174,0.6374,0.0382,0.2861,0.0458,0.4489,0.0123,0.1246,0.0274,0.5447,0.114,0.1554,0.0317,0.203,0.003,0,0,0,1,1,0,0,0,2,5.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,2.875
label_powerset,0.2669,0.0537,0.6314,0.0421,0.2834,0.0496,0.4258,0.0166,0.0682,0.0192,0.5149,0.1072,0.1897,0.0253,0.3765,0.0374,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.5
binary_relevance,0.2858,0.0719,0.6186,0.0359,0.2746,0.0449,0.4253,0.0183,0.0651,0.0202,0.5208,0.1067,0.1753,0.0234,0.4271,0.0652,1,0,0,0,0,0,0,0,1,1.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.625
majority_voting_classifier,0.0382,0.0168,0.5189,0.0464,0.2358,0.0865,0.2089,0.006,0.0046,0.0027,0.1775,0.0147,0.0312,0.0109,0.0628,0.0038,0,0,0,0,0,0,0,0,0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.375
label_space_partition_classifier,0.0372,0.0168,0.5125,0.0433,0.2545,0.0959,0.2116,0.0052,0.0055,0.0035,0.1774,0.0146,0.0311,0.0109,0.0621,0.0037,0,0,0,0,0,0,0,0,0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.625
